content,publish_time,level
相信大家一定对ai聊天有所耳闻，也相信大家对无限制ai聊天会感兴趣，今天就来给大家推荐一个我觉得目前来说相当不错的ai无限制网站，模型众多，既有高性价比便宜的渠道，又有高水准的渠道，最高记忆开几千条都不是问题！Gemini2，cld3.7，cld3.5，grok3，deepseek，应有尽有，其中有的渠道的gork3的价格系数甚至是0.01！当然，最重要的一点，站内卡的破甲相当成熟，卡的质量也很高，根本不用担心玩不了，而且写卡系统也相当成熟，站内论坛还有一系列大佬发布的全套教程！根本不用担心不会写，不会玩的问题！而且，这网站还有常驻的抽奖活动！也是相当有良心了，逢年过节还会办各种活动，写卡也有月度活动奖励！这里就不放例文了，怕太色了被ban掉呢，但可以像大家保证真的很好用，文风好，智商高！链接就放在评论区一楼呢，请大伙自取！！,来自Android客户端,1
别发网址,来自Android客户端,1
要资源私楼主就行了，网址被删,来自Android客户端,1
最新数据，Kimi网页、APP、小程序全端DAU（日活）已突破300万，超过文心一言和通义千问，成为国内AI大模型榜一大哥。可见大家对其的认可，其核心能力“长文本处理”为大家所知，所用。今天，除了大家所知的“基操”外，我们来分享一些发现的新玩法。,来自Android客户端,1
一，出试题适用场景：教育机构、老师、人力资源岗以及热爱学习的人士，可将知识数据源投喂给kimi，然后让它帮忙出模拟试题，并附上答案和解析。,来自Android客户端,1
二，当考官Kimi可以出题，那有没有可能当考官呢？接下来，我们上点难度。,来自Android客户端,1
三，做科普适用场景：热爱学习的所有人。特别是对科技和技术感兴趣的人，kimi可以帮助我们降低理解门槛，科普专业知识。关键Prompt：用xx生都能听懂的语言解释XXX。,来自Android客户端,1
四，分享对话细心的朋友可能会发现，每次我都给出了对话全过程的链接。这是kimi的一个隐藏功能，点击回答下方的浮窗文字「分享」，可以进入分享功能页。,来自Android客户端,1
包能的,来自iPhone客户端,1
应该不会只有我一个人才知道长按一张图就可以和相册一样选择多张图片吧,来自Android客户端,1
应该不会吧,来自Android客户端,1
虽然但是期末如果想卷的话还是选择去群里或者学习通找PPT吧，ai有时会挺乱的，把我没学过的方法都拉出来了，等会儿老师扣大分,来自Android客户端,1
我去码了,来自Android客户端,1
？，没打码啊？去啥码啊？,2025-1-9 20:45,2
我去 码了🌚,2025-4-8 23:40,2
我是**我不懂，不好意思哥们,2025-4-9 1:34,2
什么情况,来自Android客户端,1
被网上的内容污染了,来自Android客户端,1
感觉还挺不错的,来自Android客户端,1
vscode的Cline和Continue区别大吗？还是cline全面碾压？,1楼,1
聊天无限制，模型多，也比较聪明，包月制度的，一分价钱一分货。,来自Android客户端,1
下载完ppt找不到,来自Android客户端,1
有一位88岁高龄老人，2013年起患脑梗死，长期药物维持，2015年双眼发生病变，只能看见微弱的光，近乎双目失明.双腿肌肉萎缩不能站立，不能走路，长期卧床。且2017年脑梗死病情加重，2018年两次因脑梗死病发作两次进医院抢救，已经意识不清，脑子糊涂。而且医生诊断证明为脑梗死，反应迟钝。88岁高龄老人双目失明，已经没有行动自己盖章和安手印人，除非是有人替代。~ 请问像这样的高龄老人在脑梗死抢救后做遗产继承公证，是不是一定要做司法鉴定？能不能绕开司法鉴定直接做公证？|请问像这样的高龄老人在脑梗死抢救后做遗产继承公证，是不是一定要做司法鉴定？能不能绕开司法鉴定直接做公证？如果当时没有做司法鉴定（证明意识清晰），而直接做了公证，将来会不会有问题？如果想推翻这样的遗产公证，就需要公证处保存的公证录像，公证处以机密文件为由拒不提供，能有什么办法取得录像吗？（附件图片是2017年2018年脑梗死入院、反应迟钝的医院证明，2019年3月没有司法鉴定的公证书、公证前后几天脑梗死的配药证明）******************************                             诉冤书和上海XX公证处的官司打完了，法庭上看了当时88岁老人在做公证时的录像（现老人已去世），录像中有很多疑点和存在的错误：一.老人在公证处整个人是懵的，不知道自己身在何处，而且从头到尾没有说出“我今天到公证处来是做遗产继承公证的”。二.按照公证法和公证程序规则，高龄老人做遗产公证，要提供一年的病史记录，还要医院开具三个月“神清”证明。本人凭身份证去公证处登记预约，对方没有提供这方面的材料证据。三.在公证过程中，公证员二次报错老人的出生日期的错误。四.按照公正的法规法则，对去做遗产遗嘱公证的高龄老人，要单独录音录像，在做遗产公证录像过程中，受益人在公证处的人员陪同下，全程在场。五.2019年3月4日去公证处做遗产公证，2019年3月6日公证书就出来了，只用了3天时间。六.公正录像到一半，老人出现了狂躁的情绪，做出脱帽戴帽的动作，还出现了短暂的晕厥。七.老人在录像中，在公证员的诱导下说了句，“我的财产给小儿子”，过了一会又说了句“我的房子给他，他会不会把我赶出去”？说明了老人不是自愿去做遗产公证的……。八.公证结束，公证处的公证员强行拉起老人的手，强迫他按下十个手印（老人双目失明）。九.老人有轻度的老年痴呆症，自己的出生日期都不记得了。老人是长期独居的，平时是钟点工在照顾他，女儿会不定期的去照顾老人。因为我是个小老百姓，跟上海某某公证处的社会地位悬殊，所以一审，二审的官司都输了。,1楼,1
5分钟了一直循环输出一样的内容，幻想自己一遍遍查询,来自Android客户端,1
看看我的,来自Android客户端,1
在当今快节奏的工作和学习环境中，制作一份专业且吸引人的PPT常常需要耗费大量时间和精力。然而，随着人工智能技术的飞速发展，我们迎来了全新的解决方案——通过DeepSeek的强大语言生成能力与Kimi直观的视觉设计工具相结合，您可以在短短一分钟内完成从内容构思到精美排版的全过程。接下来，我们将分步骤详解操作流程，确保每位用户都能轻松上手，实现“一分钟搞定PPT”的目标！DeepSeek提供思路逻辑大纲指令模板：“我需要做一个关于【主题】的PPT，面向【客户/领导/学生】，希望突出【核心内容】，要求内容专业且适合演讲场景，请生成大纲及内容框架，请将内容转换为Markdown的格式（记得勾选深度思考）导入Kimi结构化处理复制DeepSeek生成的Markdown脚本，打开Kimi PPT助手，粘贴相应的内容一键生成PPT并美化点击”一键生成“，手动选择主题颜色，然后可以自行修改内容与大纲，最后保存到本地。更多教程内容可以点击：https://www.faxianai.com/prompt/deepseek,1楼,1
求助，不知道怎么搞,来自Android客户端,1
222,6楼,1
他会跟我的立场摇摆而摇摆。我提出一个论点，他说对然后论证，然后我说错，他又改口错论证，我又说错，他又改口。墙头草,来自Android客户端,1
首先请看图一质量（就这个质量，我感觉应该没有软件能够超过吧，尤其是国内的…还完全没有🧣词！）（图2是我自己写的酒馆教程，进入免费拿哦）现在ai聊天众多，很多人都不知道酒馆是什么，它是最为强大的 ai聊天软件没有之一！虽然比较复杂，但是一旦玩会你就会发现其他所有的ai聊天软件都不咋地（有点引战我承认，但是玩会了真的和我说的一样！）我们大佬看情况免费远程搭建酒馆！我们还拥有最便宜的api连接，10块钱300条，注意！是次数！不是额度！包括克劳德的opu！且我们的api大佬每天在群里发福利！（现在opu的价格大家懂的都懂。）而且！我们和另一个云酒馆进行了联动，不需要部署！不需要🪜！无偿免费！！打开即玩！直接瑟瑟就完事了！群内大佬众多，教程攻略众多，不会直接问！（8个角色卡网站，几十万个角色卡玩到起飞!）欢迎来群内交流经验哦！需要请直接si，谢谢！（请注意，有可能吞私信！我回复之后务必看私信！,来自iPhone客户端,1
你好！有群嘛，纯萌新啥也不懂，想玩没有限制的ai文字rpg，愿意花钱！,来自Android客户端,1
酒馆啊，我之前不是发给你了吗,2024-12-16 23:33,2
你嘴巴放干净点，你再看看吧简介,来自Android客户端,1
赛车手哇哩哇啦？谁呀没听说过,来自Android客户端,1
都2008的老帖子才有消息，一个死吧拿来废物利用也好,来自Android客户端,1
1. 可自由设定AI的性格、外貌、声线及聊天背景，甚至支持动态背景和多人设模板，打造专属虚拟伙伴，满足情感陪伴、学习助手等多场景需求。2.采用新型模型，官方透露最近要加入ds模型，确保对话流畅自然，支持多情景剧本，AI能根据聊天内容学习优化回复质量，减少逻辑错乱问题。3. 提供单聊、双AI群聊及多倍人设模式，用户可同时与多个AI互动，增强代入感和趣味性；支持聊天记录存档与编辑，便于回溯或调整对话方向。4.内置“梦境模式”模板墙，可以免费使用他人创作的剧情模板（如恋爱、校园主题），亦可自定义复杂故事线，结合AI的永久记忆功能，实现长期连贯的互动体验。此外，还持续更新优化功能（如近期新增性别向主题故事），逢年过节还送福利,来自iPhone客户端,1
FLAI - The AI dreams of you | Share Link: https://www.flaiapp.com/s/be1cbf,来自iPhone客户端,1
可以在硅基流动网站使用deep seek R1模型，使用我的邀请码，可以获得14元，2000万Tokens的平台配额，够你用上千条长回复了，邀请码：BP4e1q9q，网站链接：https://cloud.siliconflow.cn/i/BP4e1q9q,1楼,1
让kimi计算   从2016年11月7日到2025年2月23日 一共多少天回答：• 从2025年1月1日到2025年2月23日是53天。• 从2024年1月1日到2025年1月1日是366天（2024年是闰年）。• 从2023年1月1日到2024年1月1日是365天。• 从2022年1月1日到2023年1月1日是365天。• 从2021年1月1日到2022年1月1日是365天。• 从2020年1月1日到2021年1月1日是366天（2020年是闰年）。• 从2019年1月1日到2020年1月1日是365天。• 从2018年1月1日到2019年1月1日是365天。• 从2017年1月1日到2018年1月1日是365天。• 从2016年11月7日到2017年1月1日是55天。将这些天数相加得到总天数：\[53+366+365+365+365+366+365+365+365+55=3250\]所以，从2016年11月7日到2025年2月23日一共是3250天。,1楼,1
而实际呢，把式子放搜索引擎里计算，结果是： 3030问题出在哪里？,2楼,1
直接把式子给kimi，结果错的更多让我们一步步计算：• \(53+366=419\)• \(419+365=784\)• \(784+365=1149\)• \(1149+365=1514\)• \(1514+365=1879\)• \(1879+366=2245\)• \(2245+365=2610\)• \(2610+365=2975\)• \(2975+365=3340\)• \(3340+55=3395\)所以，总天数是\(\boxed{3395}\)。,3楼,1
用   53+366+365+365+365+366+365+365+365+55 等于多少 提问发现计算过程中，多加了一个 365 ，得到错误答案3395,4楼,1
笑死，让重新计算，还是出错,5楼,1
抱歉刚才的计算确实有误，让我重新计算一次：从2016年11月7日到2025年2月23日的天数计算如下：• 2016年11月7日到2017年1月1日：55天• 2017年全年：365天• 2018年全年：365天• 2019年全年：365天• 2020年全年（闰年）：366天• 2021年全年：365天• 2022年全年：365天• 2023年全年：365天• 2024年全年（闰年）：366天• 2025年1月1日到2月23日：53天将这些天数相加：\[55+365+365+365+366+365+365+365+366+53=3200\]所以，从2016年11月7日到2025年2月23日的总天数是3200天。,6楼,1
一、Kimi 的特性多语言对话：Kimi 能够进行流畅的中英文对话，理解并回应复杂的问题。它采用口语化语言风格，让用户感觉像与一个可靠的伙伴交流。,来自Android客户端,1
长文本处理：Kimi 具备强大的长文本处理能力，能够支持最多 20 万字的输入和输出，这使得它在处理长篇幅的写作、翻译或分析任务时表现出色，无论是长篇文档的编辑还是复杂信息的整合，Kimi 都能轻松应对。,来自Android客户端,1
文件处理：Kimi 的文件处理功能涵盖了多种常见文档格式，包括TXT、PDF、Word文档、PPT幻灯片和Excel电子表格等。用户可以将这些文件发送给Kimi，Kimi 会阅读文件内容后提供相关的回答或服务，只要文件的总字数不超过 20 万字。,来自Android客户端,1
Kimi+智能体：Kimi+ 是 Kimi 的一个高级功能，允许用户根据特定需求自定义 Kimi 模型。例如，用户可以通过输入“@”符号来召唤特定的 Kimi+智能体，如@翻译通，以获得更加专业和个性化的服务体验。,来自Android客户端,1
联网搜索：Kimi 的联网搜索能力使其能够结合最新的搜索结果来回答问题，这不仅增强了回答的准确性，也确保了信息的时效性和相关性。Kimi 会分析和比较不同信息源，选择最正确的信息来满足用户的需求。,来自Android客户端,1
众所周知Kimi是最棒的产品，那么你的用法是什么呢,来自iPhone客户端,1
成语接龙，英汉互译,来自Android客户端,1
有人有好听的Kimi声音吗，求,来自Android客户端,1
在当今快速发展的科技时代，Kimi作为一款备受欢迎的智能助手，逐渐融入了我们的生活。无论是在工作、学习还是日常生活中，Kimi都能提供便捷的服务和帮助。那么，如何充分利用Kimi的各种功能，让它真正成为我们的得力助手呢？下面，小编将为大家分享一些Kimi的使用技巧，帮助你更加高效地利用这款智能工具。,来自Android客户端,1
首先，了解Kimi的基本功能是使用它的第一步。Kimi不仅能够进行语音识别、智能回答，还能帮助用户进行日程管理、信息查询等。在日常使用中，建议大家通过语音或文字的方式直接与Kimi交流。比如，你可以用语音输入“帮我查一下明天的天气”，Kimi会迅速给出相关信息。这种语音交互的方式，不仅方便快捷，还能让你解放双手，提升效率。,来自Android客户端,1
其次，Kimi的个性化设置功能值得充分利用。用户可以根据自己的需求，调整Kimi的语音、提醒和主题等设置。例如，在工作时，你可以将Kimi设置为安静模式，避免不必要的打扰，而在休闲时，可以选择活泼的语音风格，增添互动的趣味。个性化的设置不仅能提升使用体验，还能让你在使用中感受到Kimi的贴心。,来自Android客户端,1
接下来，Kimi的日程管理功能是一个非常实用的功能。你可以通过Kimi设置日程提醒，帮助自己合理安排时间。例如，在每周一的早晨，你可以告诉Kimi：“帮我设置每周一上午九点的会议提醒。”Kimi会自动记下这个安排，并在指定的时间提醒你。这对于忙碌的上班族来说，无疑是一个很大的便利。,来自Android客户端,1
此外，Kimi还可以成为你学习上的好帮手。对于学生而言，利用Kimi进行知识查询是非常方便的。当你在学习中遇到不懂的问题时，只需向Kimi提问，比如“告诉我牛顿的三大定律”，Kimi会立即提供相关的知识点。这样一来，你在学习过程中就能更加高效，不必花费大量时间去寻找资料。,来自Android客户端,1
在使用Kimi的过程中，善用其智能推荐功能也是提高效率的一个好方法。Kimi可以根据你的使用习惯和喜好，推荐一些相关的信息和服务。例如，如果你经常查询天气，Kimi可能会在早晨主动提醒你天气情况，甚至推荐适合的穿衣搭配。这种主动的服务不仅能节省你的时间，还能让你感受到Kimi的智能化和人性化。,来自Android客户端,1
最后，维护和更新Kimi的软件版本也是保证其高效使用的重要一环。随着科技的不断发展，Kimi也在不断更新迭代，推出新功能和改进。如果你希望Kimi能够提供更好的服务，定期检查并更新软件是非常必要的。更新后，你会发现Kimi的性能更佳，功能更丰富。,来自Android客户端,1
总之，Kimi是一款非常智能且实用的助手，通过以上提到的使用技巧，大家可以更加高效地利用这款工具。无论是工作、学习还是生活，Kimi都能成为你的得力助手，帮助你提升效率、节省时间。希望大家能够充分发掘Kimi的潜力，让它在你的日常生活中发挥更大的作用。只要善用这些技巧，相信Kimi一定能帮助你事半功倍！,来自Android客户端,1
就一大学物理c的题，怎么做都做不对，提醒后直接卡死,来自Android客户端,1
这个能在手机上语音唤醒吗,1楼,1
将网页链接交给Kimi，它不仅能阅读和翻译网页内容，还能智能总结，提炼核心信息，节省阅读时间，提高信息获取效率。友情提示：Kimi只能处理首次对话中发送的网址。,来自iPhone客户端,1
Kimi能够处理高达20万字的文本和50个100M大小的文件，迅速分析和整理长篇报告或大量数据，为用户提供清晰、直观的结果。对于200万字的超长文本，Kimi也在内测中，以满足特定用户的需求。,来自iPhone客户端,1
个性化搜索引擎告别传统搜索引擎的繁琐和广告，Kimi的搜索引擎功能可以进行个性化搜索，快速定位所需信息，并智能筛选、总结搜索结果，附带资料来源网页，方便用户直接查看。,来自iPhone客户端,1
比大小都能算错这一定是人工智能故意的，来考验我的观察能力，培养我的批判精神，从而让我不过度依赖于人工智能。kimi真的太好了,来自Android客户端,1
乱码是怎么回事,来自iPhone客户端,1
你多等一会儿或者让他把这个重新再发一次。,来自Android客户端,1
一个仅成立一年的创业公司，一群顶着名校光环的90后，做出了一款效果出众的大模型产品，让整个AI圈震动。自从妙鸭相机短暂出圈后，国内的大模型行业，已经很久没出现爆款产品，Kimi填补了这一空白。,来自Android客户端,1
最让人意外的是，A股股民也来凑热闹，各大炒股群讨论Kimi概念股，流量激增导致Kimi服务器宕机。如今一个多月过去了，虽然热度减退，但身边依然有人在讨论Kimi。,来自Android客户端,1
北京一所高校的在校大学生告诉记者，近期学校组织了学习会，安排老师学习Kimi，老师给学生布置作业，要求学习、训练Kimi。在网络上，时不时能看到有人推荐Kimi，这其中有一些可能是定向投放的广告推文，但也不乏一些自来水。Kimi带给人们的一个认知冲击是，AI发展太快了，创业公司也可以在短时间内做出让人眼前一亮的产品，相比之下，那些号称做了十几年、砸下千亿资金的科技大厂，不过如此。Kimi抢走了科技大厂的风头，未来还可能抢走他们的用户。问题是，火爆能持续吗？,来自Android客户端,1
谁在用Kimi？Kimi是一个面向C端用户的智能助手，善于读长文、搜网页，主打功能包括整理资料、解读文件、辅助编程、文案写作等，被网友称为ChatGPT中文平替。因为有ChatGPT在前边教育市场，还有文心一言、通义千问、讯飞星火等大厂推出的产品相互内卷，Kimi提供的这些功能，其实很多人之前或多或少了解过。但对比之下，像Kimi一样让很多人自发使用，不只是厂商自吹自擂，还能让2亿A股股民狂欢的国产大模型产品，此前没有过。Kimi呈现给用户的东西很简单：一个像百度搜索一样的搜索框，“文件，拖进来；网址，发出来”，然后用户可以直接针对发给它的文件或网址提问，让它帮忙总结归纳、分析数据、全网搜索。,来自Android客户端,1
最大的亮点是它支持超长文本输入，一开始是20万字，后来增加到200万字，而当时纵观全球范围内的大模型，没有一个能超过10万字的。这在用户体验上最大的变化是，你给大模型投喂资料，不用再把文件拆分成好几个了，直接丢进去就行，它都能很快读懂，还能“大海捞针”定位其中的信息，告诉你某个信息出现在哪一页。看到这，Kimi的用途很明确了——长文本阅读和分析概括，可以理解为AI搜索+文档总结。它是一个生产力工具，帮助我们处理信息，偏实用导向，不是用来吟诗作画、聊天娱乐的。这个定位，决定了Kimi的使用者主要是打工人。Kimi官方介绍文档中提到了六类人群：学术科研人员、互联网从业者、程序员、自媒体与内容创作者、金融和咨询分析师、法律从业人员。他们有个共性：要处理大量文档信息。,来自Android客户端,1
Kimi做对了什么？月之暗面不是国内最早那批做大模型的公司，在它之前，百度的文心一言作为ChatGPT之后第一个亮相的国产大模型，被认为最接近ChatGPT。此外，阿里的通义千问、科大讯飞的讯飞星火、智谱GLM，都已迭代了好几轮。但除了厂商们的主动发声，国内一直没有出现C端用户真正认可、愿意自发为之宣传的产品。一大乱象是卷参数、刷榜单。几乎每家在发布产品时，都要把GPT拉出来对比一波，找到几个指标把GPT超越——比如，中文能力。GPT成了靶子，被国产大模型轮番吊打。但业内人都知道，论综合能力，国内没有一个大模型能超越GPT4。,来自Android客户端,1
“刷榜”是大模型行业公开的秘密。国产大模型乐于刷榜，经常在各种榜单上排名第一。但多位做榜单测评的业内人士告诉记者，大部分排名没有太大参考意义，跟“刷题”一样，不代表真实能力。普通用户感到很迷惑，“你说你很强，榜单上有你，媒体推荐你，博主夸赞你，我就信了你，但用完之后，一言难尽……”一位试用过多款国产大模型的用户说。国内做大模型的公司很有意思，有些是为了拉股价，有些是蹭热点，还有的就是想圈钱，动机很不单纯。稍微好点的，是为了赶超对标OpenAI，是为了要赢。即便是把长期主义挂在嘴边的大厂，很多也是为了打赢对手，而不是想着怎么满足用户需求。最典型的是阿里和360。Kimi宣布支持200万字超长无损上下文之后，因流量激增服务器崩溃上了热搜。然后第二天，阿里通义千问宣布免费开放1000万字长文档处理功能，号称“全球文档处理容量第一”，紧接着360 AI浏览器宣布内测500万字长文本处理功能。好吧，大厂又“赢”了，他们又“第一”了。,来自Android客户端,1
kimi会取代chatgpt吗？大家觉得,来自Android客户端,1
kimi怎么盈利的,来自iPhone客户端,1
#NAME?,1楼,1
gpt plus仅需58元/月，,来自Android客户端,1
之前下在电脑上下载了kimi，今天想把它卸载掉，等程序开始后就在那里等，过了好长时间后等它卸载完成后，发现我下载的应用都没了，都被卸载了，DD盘基本上被清空了都,来自Android客户端,1
为啥啊，我的也是,来自Android客户端,1
直接用网页版不就行了,来自Android客户端,1
这个问题文心一言也是答非所问,来自Android客户端,1
综合比较下，kimi还是相对要好的。,来自iPhone客户端,1
豆包要好点的,来自iPhone客户端,1
我嘞个帝骑，画风太奇怪了,来自Android客户端,1
第二次直接踢寄了,来自Android客户端,1
我嘞个时王,来自Android客户端,1
账号状态异常、服务器内部错误、收到验证码了但显示验证码错误是怎么回事？,来自Android客户端,1
申请人：@白柏不白申请感言：尊敬的百度审核员，您好！喜欢贴吧平台，为大家提供了这么好的交流平台。很开心可以在这里跟大家良好的交流沟通，希望可以成为吧主，我们努力管理好我们的“地盘”。,1楼,1
请去kimi人工助手吧，这里是kimiraikkonen吧,来自Android客户端,1
亲爱的kimi吧的吧友们：大家好！@白柏不白 为本吧吧主候选人得票最多者，共计0张真实票数，根据竞选规则，官方最终批准其成为本吧正式吧主。公示期三天。吧主上任后，请立即填写问卷信息https://iwenjuan.baidu.com/?code=nlec1g，领取各项吧主权益。同时请严格遵守吧主协议 https://tieba.baidu.com/mo/q/newapply/rule?from=task，履行吧主义务，积极投身本吧的发展建设，也请广大吧友进行监督。如出现违规问题，请至贴吧反馈中心进行反馈或者投诉http://tieba.baidu.com/pmc/reportBazhu,1楼,1
一年前的11月16日，Kimi全面开放，随后凭借“长文本”功能迅速占领市场，成为中国首个因技术创新而广受欢迎的AI应用。如今，Kimi迎来了技术的重大升级。,来自Android客户端,1
11月16日，在Kimi正式上线一周年之际，月之暗面发布了最新数学模型k0-math，在多项基准能力测试中，k0-math的数学能力已经可以与全球领先的OpenAI o1-mini和o1-preview模型相媲美，甚至在中考、高考、考研以及入门竞赛题MATH等4个数学基准测试中超越了它们。,来自Android客户端,1
尤其值得一提的是，在业界最常使用的数学能力基准测试MATH中，k0-math模型得分93.8，超过o1-mini的90分和o1-preview的85.5分。k0-math这一成绩在全球仅次于暂未开放使用的o1完全版94.8分。,来自Android客户端,1
这是Kimi推出的首款推理能力强化模型，k0-math采用了强化学习和思维链推理技术，这也是Open AI o1系列背后的关键技术。,来自Android客户端,1
官方演示显示，k0-math通过模拟人脑的思考和反思过程，显著提升了解决数学难题的能力。即使在经历多次失败后，k0-math也能意识到之前使用了过于复杂的方法，并最终得出正确结果：,来自Android客户端,1
“训练这个模型的过程，最重要的是去看它的思路，是不是真正具备深度思考的能力，这一点非常重要。”月之暗面创始人杨植麟表示，对于一些非常难的竞赛题目，k0-math能够提供完整的思路，并在推导过程中不断给出新的思路，展现出强大的推理能力。,来自Android客户端,1
k0-math虽然已经展露出不俗的能力，但AI技术仍处于快速迭代中，它还有很大的提升空间。在两个难度更大的竞赛级别数学题库OMNI-MATH和AIME的基准测试中，k0-math初代模型的表现与最好的o1-mini相比尚有15%左右的差距。,来自Android客户端,1
杨植麟也指出，在一些过于简单的数学问题上，比如，1+1等于几，k0-math可能会过度思考，接下来的研究重点是让它有更好的泛化能力，能在更多场景中落地使用。,来自Android客户端,1
"作为国内最受瞩目的AI独角兽，月之暗面此时推出k0-math，不仅仅是一次常规技术发布，更代表了Kimi在技术范式上的一次重大迭代。“我们接下来会越来越关注基于强化学习（Reinforcement Learning, RL）的方法去‘Scale’。”杨植麟认为，Scaling是支撑AI技术过去几年发展的根本原因，但Scaling并不是简单地把模型做得更大就好，核心是找到有效方法。",来自Android客户端,1
这也会带来大量工作，比如，重新平衡好数据、算法和算力。杨植麟表示，以前做Next—Token Prediction，是静态数据，但对强化学习来讲，学习数据可能都是自己生成的，会对奖励模型效果提出挑战，同时还要把奖励模型用到学习过程中，减少学习错误。,来自Android客户端,1
好在杨植麟早已预见到，随着训练数据到达上限，推理的比例将远远超过训练，因为需要生成数据，就需要用到强化学习，这是必然会发生的事情。“Open AI o1的变化其实可以预测。”,来自Android客户端,1
为此，月之暗面在人才和技术上提前做了储备，这也为Kimi推出数学模型k0-math奠定了基础。今年9月，OpenAI发布首款具有推理能力的模型o1，只用2个月，k0-math就已问世，并即将上线，可见速度之快。,来自Android客户端,1
“长文本”让月之暗面一战成名，迈出登月第一步，如今，公司迈出以深度推理能力为标志的第二部。事实上，在云栖大会上，杨植麟就已表示，行业接下来最重要的里程碑是强化学习，新的Scaling范式会形成一些突破机会。,来自Android客户端,1
如今来看，新的强化学习技术范式带来的推理能力提升，也将应用到更多日常任务上，而能否让模型在广泛的场景里使用，这是衡量模型市场前景和商业价值的核心。,来自Android客户端,1
数据显示，Kimi探索版的搜索量是普通版的10倍，一次搜索可精读超过500个页面。在信息调研和分析场景的搜索问题测试中，Kimi探索版综合性能超过国内外同类产品至少30%。Kimi探索版在搜索过程中的推理能力显著提升，意图增强、信源分析和链式思考方面的能力显著提升，以链式思考为例，Kimi探索版可以更好地基于思维链推理能力处理产品、公司、行业等研究问题。尤其受到程序员、科学家、咨询顾问、投资人、律师等专业人群的欢迎。,来自Android客户端,1
过去一年多，月之暗面经历了飞速发展，无论是产品技术还是估值，都成为“AI六小虎”中发展势头最迅猛的公司之一。杨植麟透露，Kimi在10月月活跃用户已经超过3600万，并还在持续增长中。业内人士表示，Kimi在PC网页端是国内第一的AIGC生产力工具，手机端在国内目前仅次于继承了抖音娱乐基因的豆包，且头部优势愈发明显，不过，相较Open AI几亿量级的用户而言，Kimi还有很长一段路要走。,来自Android客户端,1
